,YAL051W,YBL005W,YBL021C,YBL054W,YBL103C,YBR033W,YBR049C,YBR066C,YBR083W,YBR112C,YBR182C,YBR215W,YBR239C,YBR240C,YBR297W,YCL055W,YCR018C,YCR065W,YCR084C,YCR106W,YDL020C,YDL048C,YDL056W,YDL106C,YDL170W,YDL233W,YDR009W,YDR034C,YDR043C,YDR081C,YDR096W,YDR123C,YDR146C,YDR174W,YDR207C,YDR213W,YDR216W,YDR253C,YDR259C,YDR277C,YDR310C,YDR421W,YDR423C,YDR451C,YDR463W,YDR501W,YDR520C,YEL009C,YER028C,YER040W,YER045C,YER068W,YER088C,YER109C,YER111C,YER130C,YER169W,YER184C,YFL021W,YFL031W,YFL052W,YFR034C,YGL013C,YGL035C,YGL071W,YGL073W,YGL096W,YGL162W,YGL166W,YGL209W,YGL237C,YGL252C,YGL254W,YGR044C,YGR249W,YGR288W,YHL009C,YHL020C,YHL027W,YHR006W,YHR084W,YHR124W,YHR178W,YHR206W,YIL036W,YIL101C,YIL122W,YIL131C,YIR017C,YIR018W,YIR023W,YIR033W,YJL056C,YJL089W,YJL103C,YJL110C,YJL206C,YJR060W,YJR094C,YJR127C,YJR147W,YKL015W,YKL020C,YKL032C,YKL038W,YKL043W,YKL062W,YKL109W,YKL112W,YKL185W,YKR034W,YKR064W,YKR077W,YKR099W,YLR013W,YLR014C,YLR098C,YLR113W,YLR131C,YLR176C,YLR183C,YLR223C,YLR228C,YLR256W,YLR266C,YLR403W,YLR451W,YML007W,YML027W,YML051W,YML076C,YML081W,YML099C,YMR016C,YMR019W,YMR021C,YMR037C,YMR042W,YMR043W,YMR070W,YMR164C,YMR172W,YMR182C,YMR280C,YNL027W,YNL068C,YNL103W,YNL167C,YNL199C,YNL216W,YNL314W,YOL028C,YOL067C,YOL089C,YOL108C,YOL116W,YOR028C,YOR032C,YOR066W,YOR113W,YOR140W,YOR162C,YOR230W,YOR337W,YOR344C,YOR358W,YOR363C,YOR372C,YOR380W,YPL038W,YPL075W,YPL089C,YPL128C,YPL133C,YPL177C,YPL202C,YPL230W,YPL248C,YPR008W,YPR065W,YPR104C,YPR196W,YPR199C
YAL051W,0.0,-0.2009163260494139,0.0,0.0,0.0,0.0,0.0,0.0,-0.0248993465881824,0.0005934139515884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7269236247481728,0.0,0.0,0.0003367347180781,0.0,0.0,0.0,0.0,0.0,0.1353495002724449,0.0,0.0,0.0,0.2599583978793237,0.0,-0.0001030137963362,0.0,0.0,-0.0003100258834113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1504796118721503,0.0,-0.4544089890166596,0.0,0.0,0.172360561786654,0.0,-0.4642974936968665,-0.0800369570922349,0.0,0.0,0.5311324958708893,0.0,0.1292366151778314,0.0,0.0,-0.0806069431728099,9.015736675595864e-05,0.0,0.0,-1.4474948340179907,0.0,0.0,0.0,-4.637493287672533e-05,0.0,0.0,0.0,-5.946301795244437e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001089131090543,-0.5772656738234987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.677525967538418,0.0,0.0,0.0,0.0,0.0,0.0,1.0671386499876157,-1.0835526170037084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4843197705069225e-05,0.0,-0.0238422789393515,0.0,0.0,0.0,0.7295639914919246,0.0,-0.5704691000278027,0.0,-0.1260336102875359,0.0,0.0,0.0,0.0,0.0,0.1645499972856847,0.0,0.0,-0.943651577543554,0.0,0.000778507105876,-0.0029225800749723,0.0,0.0,0.0,0.0,0.0,0.0,0.3789298161531076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5340079490443894,0.0,0.0,0.0,-0.2987988479400962,0.0,1.8444290137977948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4006980955918492,0.0,-0.3281574745719683,0.0,0.0,-0.0011578195477463,0.0,-9.341826717696182e-05,0
YBL005W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2897688596504358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
YBL021C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003544067695577,0.0,-0.0071595905982085,0.0,0.0,0.0,0.0,0.0,-0.0770508142682148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0775877588742178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684272285646162,0.0,0.0,-0.1670780219479788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1273972602293197,0.0,0.0,0.0,0.0,0.0,0.0,0.0002333822211329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1953565518978106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0291188221033424,0.0,0.0,0
YBL054W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
YBL103C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1163764165257322e-05,0.0,-4.184293693380687e-05,0.0,0.0,0.0,0.0,0.0,0.0003444121513007,0.0,0.0,0.0,0.0002364601454198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.345193699349977e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.5531521415372544e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001784235715553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
YBR033W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
YBR049C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4282030791742851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003513272040853,0.0,0.0,0.0,0.0,0.0,0.0,-0.4601952527719882,-7.560667844913759e-05,0.0,0.0,0.0,0.0,0.0,0.4238714730971966,0.0,0.0002388267845941,-0.0006959288148357,0.0,0.0,0.0,0.0,-0.0438666420396121,0.0,0.0,-0.337604238940047,0.0,0.0,0.4373230367775985,1.795523094402093,0.0,0.1474912771704632,0.0,-0.0001284690148187,0.2978877060487155,0.0,-0.000109707470444,0.0,0.0,-0.1407546185912629,-0.7209422336295112,-0.770136440887229,0.0,0.0,-0.0312232937816662,0.0,0.0,-0.19039391011309,0.0,0.0,-0.6706870798240493,0.0,0.0004085872467759,0.0,0.0,0.0,0.0,-0.8771191352665427,0.0,0.0,0.0,0.1999830869859633,0.0,0.0,0.0,0.0182011168207745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.90347795853945e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.618425166222944e-05,0.1223867512585985,0.0,0.0,0.0,0.0,0.0,-1.0181320567501226,0.0,0.0,0.0,-0.0115984086506874,0.0,0.0,0.0,0.0,0.0,0.447906894810739,0.0,0.0,0.0,0.1395273190697354,0.0,0.0,0.1243919735913951,0.0,0.0,0.3132113687941549,0.0,-0.0003576048803939,0.0,0.2690667080147729,2.3838603263980475e-05,1.013633899011545,0.0,0.0,0.0427321764379393,0.0,-0.0355223172129256,0.3685204116994718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777613036878215,0.0,0.0,0.0003604149875708,0.0,0.1598062624718905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
YBR066C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050494969317274,0.0,-0.0537179085906832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0229493436233002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156058347474567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0291194874296852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.108253830808956,0.0,0.0,0.0,0.0,0.0672972897496904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0504232462003824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0632145609250487,-0.0100558795567595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0416217333815362,0
YBR083W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118123455394976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0134398095048199,0.0,0.0,0.0,0.0,0.0,-0.0851340846433875,-0.1113445353003385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2802737838309718,0.0,0.0,0.0,0.0,0.0717667697892626,-0.0193947598281821,0.0,0.0,-0.3150632202251802,0.0,0.0,0.0,0.0,0.0,0.0082490058614484,0.0,0.0,0.0,-0.0489865848873104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2179620335846149,-0.0495807713261459,0.0,0.0,0.0,0.0,0.0,0.0,0.0240948438187734,0.0,0.0,0.0,0.0,0.0,-0.7577181456154253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.370964250481491,-0.0632423292512329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1094524038475378,0.1316864779911746,0.0,0.0,0.0,0.1303570649039032,0.0,0.4025050062362992,0.0,-0.2610360633148531,0.0,0.0,0.0353144940298378,0.0,0.0,0.0,0.0,0.0,0.0,0.1944751356914767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0357738809141261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2945297881548813,0.0,0.0,-0.0222639128656574,-0.0081186504886823,0.0,0.0,0.0400797261264679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002433149048699,-0.0007006752191523,0.0,0.0,0.0,0.0,0.0,0.0,0.0468959494142455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042006125882944,0.0,0.0,0.0,0.0,-0.012219277039101,0.0,0.0,0
YBR112C,0.0,0.0,0.0,0.0,0.0,-1.3008311074347394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0406799773113891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003599251081008,0.0,-0.126697543985754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5570290889961589,0.0,0.0,0.0,0.0,2.2235196152020563e-05,0.0,0.0,0.0,0.0003687232795002,0.0,0.0,0.0,0.0,0.0,0.0,1.0448217494254566,0.0,0.0,0.0,0.4947307896570419,0.0,0.0001297914121623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002134539885018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007087070680548,-0.1463899462584376,0.0,0.0,0.0,0.0,1.0078948132176175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2374311379588208,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005521103970735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.967031766036387,0.0,0.0,0.0,0.0,0.0,-9.679842812289149e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.061334106735986,0.2915344940727264,0.0,0.0,0.0,0.0,0.0,0.0,-0.2457063339968159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.424977448044786,0.0,0.0,0
